id,event_name
71,,2012-07-14,3,0,0,,,,21:00:00,00:00:00,confirmed
70,,2012-06-23,12,0,0,,,,21:00:00,00:00:00,confirmed
69,,2012-05-18,4,0,0,,"BDS in North Beach",,21:00:00,00:00:00,confirmed
68,,2012-03-10,12,0,0,,"A good night to come out and see BDS!",,21:00:00,00:00:00,confirmed
67,,2012-02-11,12,0,0,,"Come here our new songs!","Come here our new songs!",21:00:00,00:00:00,confirmed
66,,2012-04-07,3,0,0,,"BDS is finally back at O'Neills!",,21:00:00,00:00:00,confirmed
65,,2012-02-03,4,0,0,,"Mikey and Theo are back with the band  and we are going to have a blast playing in North Beach!",,21:00:00,00:00:00,confirmed
64,,2011-12-17,12,0,0,,"Celebrate the holidays with BDS!",,21:00:00,00:00:00,confirmed
63,,2011-09-30,9,0,0,,"Bring the family for food, fun and music",,19:00:00,00:00:00,confirmed
62,,2011-09-17,12,0,0,,"Back at our favorite local stage!",,21:00:00,00:00:00,confirmed
61,,2011-05-29,14,0,0,,"We are playing a private party",,00:13:00,00:00:00,confirmed
60,,2011-05-06,4,0,0,,"Good Weather, live music and good times!",,21:00:00,00:00:00,confirmed
59,,2011-07-16,4,0,0,,,,21:00:00,00:00:00,confirmed
58,,2011-06-17,2,0,0,,"<span class=""form_error"">This show has been cancelled</span>",,21:00:00,00:00:00,confirmed
57,,2011-05-21,2,0,0,," This should be a great night with local favorites Slightly Left!",,21:00:00,00:00:00,confirmed
56,,2011-04-30,12,0,0,,"Come join us at our favorite downtown San Mateo Pub!",,21:00:00,00:00:00,confirmed
55,"Hear all the music we play along with the Journey songs you love!",2011-10-15,5,0,10,,"<div><img src=""http://chris.homepages.org/bds/bds_images/flyers/101511_fox_show.png""></div>",,21:00:00,00:00:00,confirmed
54,,2011-02-12,12,0,0,,"We love the new stage at McGovern's and we look forward to entertaining you so come out and have a great time!","BDS at McGovern's!",21:30:00,00:00:00,confirmed
53,,0000-00-00,0,0,0,,,,00:00:00,00:00:00,
52,,2011-02-26,4,0,0,,"Come hang at with us at our favorite North Beach bar!",,21:00:00,00:00:00,confirmed
51,,2011-01-21,2,0,0,,"The 1st BDS gig of the year!",,21:00:00,00:00:00,confirmed
50,"<b>PRIVATE PARTY</b>",2010-12-18,14,0,0,,"<b>PRIVATE PARTY</b> - BDS rocks Friendfinder Networks at the FFN 2010 Holiday Party!   ","<b>PRIVATE PARTY</b>",19:00:00,23:00:00,confirmed
49,,2011-03-18,7,0,10,,"Look for our ad on the billboard next to highway 101 by IKEA in Palo Alto.  Also, please pre-purchase a ticket from us. They are $12 and we will be happy to give them to you in person or you can pick them up at the door. Contact us if you are coming to this show. Thanks!",,21:00:00,00:00:00,confirmed
48,,2010-11-20,12,0,0,,,"BDS @ McGovern's",21:00:00,00:00:00,confirmed
47,,2010-10-02,9,0,0,,,"BDS jams for St.Charles!",19:00:00,00:00:00,confirmed
46,"Hear all the music we play along with the Journey songs you love!",2010-10-22,4,0,0,,.,,21:00:00,00:00:00,confirmed
45,,2010-07-30,2,0,0,,"Come celebrated our drummer Dave's birthday with us!",,21:00:00,00:00:00,confirmed
